tecnologia,central,mwh,fecha_iso,hora_consulta,timestamp_local_iso,source_url
Biomasa,Privada Térmico Bagazo,11.88,2026-03-01,00:48:53,2026-03-01T00:48:53-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Eólico,BOT Eólico,121.27,2026-03-01,00:48:53,2026-03-01T00:48:53-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Eólico,Distribuidoras,74.22,2026-03-01,00:48:53,2026-03-01T00:48:53-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Eólico,Privada Eólico,135.51,2026-03-01,00:48:53,2026-03-01T00:48:53-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Eólico,Tejona,1.82,2026-03-01,00:48:53,2026-03-01T00:48:53-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Angostura,41.38,2026-03-01,00:48:53,2026-03-01T00:48:53-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Arenal,103.59,2026-03-01,00:48:53,2026-03-01T00:48:53-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,BOT Hidro,13.11,2026-03-01,00:48:53,2026-03-01T00:48:53-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Cachí,55.94,2026-03-01,00:48:53,2026-03-01T00:48:53-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Cariblanco,27.04,2026-03-01,00:48:53,2026-03-01T00:48:53-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Dengo,118.62,2026-03-01,00:48:53,2026-03-01T00:48:53-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Distribuidoras,93.36,2026-03-01,00:48:53,2026-03-01T00:48:53-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Echandi,3.79,2026-03-01,00:48:53,2026-03-01T00:48:53-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,El General,30.44,2026-03-01,00:48:53,2026-03-01T00:48:53-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Garita,15.77,2026-03-01,00:48:53,2026-03-01T00:48:53-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,La Joya,22.43,2026-03-01,00:48:53,2026-03-01T00:48:53-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Peñas Blancas,17.56,2026-03-01,00:48:53,2026-03-01T00:48:53-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Pirrís,0.0,2026-03-01,00:48:53,2026-03-01T00:48:53-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Privada Hidro,13.69,2026-03-01,00:48:53,2026-03-01T00:48:53-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Reventazón,80.49,2026-03-01,00:48:53,2026-03-01T00:48:53-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Río Macho,36.53,2026-03-01,00:48:53,2026-03-01T00:48:53-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Sandillal,19.58,2026-03-01,00:48:53,2026-03-01T00:48:53-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Toro I,11.03,2026-03-01,00:48:53,2026-03-01T00:48:53-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Toro II,32.56,2026-03-01,00:48:53,2026-03-01T00:48:53-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Toro III,23.62,2026-03-01,00:48:53,2026-03-01T00:48:53-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Ventanas-Garita,16.74,2026-03-01,00:48:53,2026-03-01T00:48:53-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Intercambio,Intercambio Norte,-131.35,2026-03-01,00:48:53,2026-03-01T00:48:53-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Intercambio,Intercambio Sur,131.33,2026-03-01,00:48:53,2026-03-01T00:48:53-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Solar,Otras Solar,3.13,2026-03-01,00:48:53,2026-03-01T00:48:53-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Solar,Parque Solar Miravalles,0.0,2026-03-01,00:48:53,2026-03-01T00:48:53-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Térmico,Boca de Pozo,4.45,2026-03-01,00:48:53,2026-03-01T00:48:53-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Térmico,Garabito,0.0,2026-03-01,00:48:53,2026-03-01T00:48:53-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Térmico,Guápiles,0.0,2026-03-01,00:48:53,2026-03-01T00:48:53-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Térmico,Las Pailas II,52.03,2026-03-01,00:48:53,2026-03-01T00:48:53-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Térmico,Miravalles I,38.25,2026-03-01,00:48:53,2026-03-01T00:48:53-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Térmico,Miravalles II,39.98,2026-03-01,00:48:53,2026-03-01T00:48:53-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Térmico,Miravalles III,12.96,2026-03-01,00:48:53,2026-03-01T00:48:53-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Térmico,Miravalles V,0.0,2026-03-01,00:48:53,2026-03-01T00:48:53-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Térmico,Moín II,0.0,2026-03-01,00:48:53,2026-03-01T00:48:53-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Térmico,Moín III,0.0,2026-03-01,00:48:53,2026-03-01T00:48:53-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Térmico,Orotina,0.0,2026-03-01,00:48:53,2026-03-01T00:48:53-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Térmico,PTA Garabito,0.0,2026-03-01,00:48:53,2026-03-01T00:48:53-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Térmico,PTA Moín,0.0,2026-03-01,00:48:53,2026-03-01T00:48:53-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Térmico,Pailas,30.34,2026-03-01,00:48:53,2026-03-01T00:48:53-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
